,class,name,training_label
100,LUNG_CANCER,523_1,1
101,LUNG_CANCER,954_1,3
102,LUNG_CANCER,593,-1
103,LUNG_CANCER,431_1,3
104,LUNG_CANCER,508_0,3
105,LUNG_CANCER,149_1,-1
106,LUNG_CANCER,41_1,-1
107,LUNG_CANCER,769_0,1
108,LUNG_CANCER,737,1
109,LUNG_CANCER,414_2,0
110,LUNG_CANCER,246_2,2
111,LUNG_CANCER,362_2,0
112,LUNG_CANCER,61_0,1
113,LUNG_CANCER,69_0,4
114,LUNG_CANCER,214_2,1
115,LUNG_CANCER,78_0,0
116,LUNG_CANCER,724,0
117,LUNG_CANCER,605_2,2
118,LUNG_CANCER,957,1
119,LUNG_CANCER,696_1,1
120,LUNG_CANCER,955_2,2
121,LUNG_CANCER,170_1,-1
122,LUNG_CANCER,989,2
123,LUNG_CANCER,629_1,4
124,LUNG_CANCER,194_2,1
125,LUNG_CANCER,955_1,3
126,LUNG_CANCER,493,3
127,LUNG_CANCER,977_1,1
128,LUNG_CANCER,490_1,2
129,LUNG_CANCER,802_2,2
130,LUNG_CANCER,945_0,-1
131,LUNG_CANCER,4_1,3
132,LUNG_CANCER,802,1
133,LUNG_CANCER,180_0,4
134,LUNG_CANCER,929,0
135,LUNG_CANCER,688_1,2
136,LUNG_CANCER,240_0,3
137,LUNG_CANCER,734_1,0
138,LUNG_CANCER,393_2,0
139,LUNG_CANCER,770_1,0
140,LUNG_CANCER,874,4
141,LUNG_CANCER,360,3
142,LUNG_CANCER,794_0,1
143,LUNG_CANCER,605,1
144,LUNG_CANCER,125_0,3
145,LUNG_CANCER,794_1,3
146,LUNG_CANCER,563_2,4
147,LUNG_CANCER,452_1,3
148,LUNG_CANCER,775_2,2
149,LUNG_CANCER,362_1,4
150,LUNG_CANCER,57_0,0
151,LUNG_CANCER,593_1,1
152,LUNG_CANCER,490_0,3
153,LUNG_CANCER,41_0,2
154,LUNG_CANCER,62,2
155,LUNG_CANCER,692,3
156,LUNG_CANCER,430_0,0
157,LUNG_CANCER,41_2,3
158,LUNG_CANCER,355_0,2
159,LUNG_CANCER,57_1,4
160,LUNG_CANCER,835_2,-1
161,LUNG_CANCER,4_2,3
162,LUNG_CANCER,688_0,0
163,LUNG_CANCER,955_0,1
164,LUNG_CANCER,393_0,4
165,LUNG_CANCER,654_0,2
166,LUNG_CANCER,1001,-1
167,LUNG_CANCER,175,0
168,LUNG_CANCER,355_2,0
169,LUNG_CANCER,212,0
170,LUNG_CANCER,219_2,3
171,LUNG_CANCER,212_1,3
172,LUNG_CANCER,935,0
173,LUNG_CANCER,516_1,4
174,LUNG_CANCER,289_2,1
175,LUNG_CANCER,490,3
176,LUNG_CANCER,677_0,1
177,LUNG_CANCER,745_0,0
178,LUNG_CANCER,689,1
179,LUNG_CANCER,740_1,0
180,LUNG_CANCER,802_0,2
181,LUNG_CANCER,78_2,4
182,LUNG_CANCER,196_0,1
183,LUNG_CANCER,720,1
184,LUNG_CANCER,2_2,2
185,LUNG_CANCER,141_0,1
186,LUNG_CANCER,308,3
187,LUNG_CANCER,338_1,2
188,LUNG_CANCER,362_0,0
189,LUNG_CANCER,13,-1
190,LUNG_CANCER,174,1
191,LUNG_CANCER,350_0,-1
192,LUNG_CANCER,211_2,0
193,LUNG_CANCER,745,4
194,LUNG_CANCER,929_0,4
195,LUNG_CANCER,788_2,0
196,LUNG_CANCER,720_1,1
197,LUNG_CANCER,839_0,0
198,LUNG_CANCER,954_0,2
199,LUNG_CANCER,983_2,2
200,LUNG_CANCER,305,2
201,LUNG_CANCER,983_1,2
202,LUNG_CANCER,431_0,3
203,LUNG_CANCER,438_0,0
204,LUNG_CANCER,890_2,3
205,LUNG_CANCER,1001_0,-1
206,LUNG_CANCER,945_1,3
207,LUNG_CANCER,746,2
208,LUNG_CANCER,677,3
209,LUNG_CANCER,890_0,2
210,LUNG_CANCER,405_0,0
211,LUNG_CANCER,406,4
212,LUNG_CANCER,389_0,1
213,LUNG_CANCER,78_1,0
214,LUNG_CANCER,710_2,-1
215,LUNG_CANCER,43_0,0
216,LUNG_CANCER,169,3
217,LUNG_CANCER,209_2,3
218,LUNG_CANCER,657,2
219,LUNG_CANCER,393,1
220,LUNG_CANCER,289,0
221,LUNG_CANCER,431,2
222,LUNG_CANCER,724_0,0
223,LUNG_CANCER,935_1,1
224,LUNG_CANCER,351_2,1
225,LUNG_CANCER,601_2,4
226,LUNG_CANCER,248_0,2
227,LUNG_CANCER,13_2,1
228,LUNG_CANCER,458_0,2
229,LUNG_CANCER,516_0,3
230,LUNG_CANCER,141_2,4
231,LUNG_CANCER,958_1,3
232,LUNG_CANCER,689_1,0
233,LUNG_CANCER,194_0,0
234,LUNG_CANCER,99_0,3
235,LUNG_CANCER,238_2,2
236,LUNG_CANCER,362,1
237,LUNG_CANCER,355_1,0
238,LUNG_CANCER,305_1,1
239,LUNG_CANCER,217_2,0
240,LUNG_CANCER,214_1,4
241,LUNG_CANCER,458_2,-1
242,LUNG_CANCER,516,3
243,LUNG_CANCER,836_2,-1
244,LUNG_CANCER,570,2
245,LUNG_CANCER,734,1
246,LUNG_CANCER,464_0,4
247,LUNG_CANCER,116_2,4
248,LUNG_CANCER,730,2
249,LUNG_CANCER,485_1,1
250,LUNG_CANCER,760,1
251,LUNG_CANCER,688_2,4
252,LUNG_CANCER,298_2,-1
253,LUNG_CANCER,472_2,3
254,LUNG_CANCER,721,1
255,LUNG_CANCER,214,2
256,LUNG_CANCER,794,3
257,LUNG_CANCER,321,3
258,LUNG_CANCER,948_0,2
259,LUNG_CANCER,389,0
260,LUNG_CANCER,293,4
261,LUNG_CANCER,525,3
262,LUNG_CANCER,308_1,0
263,LUNG_CANCER,293_2,0
264,LUNG_CANCER,835_1,3
265,LUNG_CANCER,140_1,4
266,LUNG_CANCER,140_2,0
267,LUNG_CANCER,887,4
268,LUNG_CANCER,406_2,2
269,LUNG_CANCER,724_2,4
270,LUNG_CANCER,206_1,-1
271,LUNG_CANCER,405,3
272,LUNG_CANCER,632_0,0
273,LUNG_CANCER,305_0,-1
274,LUNG_CANCER,567,1
275,LUNG_CANCER,678,0
276,LUNG_CANCER,746_0,-1
277,LUNG_CANCER,116,1
278,LUNG_CANCER,2_1,4
279,LUNG_CANCER,654,4
280,LUNG_CANCER,157_2,3
281,LUNG_CANCER,593_2,2
282,LUNG_CANCER,579_2,1
283,LUNG_CANCER,1001_2,4
284,LUNG_CANCER,405_2,2
285,LUNG_CANCER,890_1,3
286,LUNG_CANCER,248_2,4
287,LUNG_CANCER,500_0,3
288,LUNG_CANCER,305_2,1
289,LUNG_CANCER,958,2
290,LUNG_CANCER,693,3
291,LUNG_CANCER,321_1,4
292,LUNG_CANCER,458,4
293,LUNG_CANCER,574,4
294,LUNG_CANCER,975_0,1
295,LUNG_CANCER,760_2,1
296,LUNG_CANCER,57,4
297,LUNG_CANCER,493_2,2
298,LUNG_CANCER,857_0,3
299,LUNG_CANCER,399_1,3
300,LUNG_CANCER,472_1,1
301,LUNG_CANCER,4_0,2
302,LUNG_CANCER,839_1,1
303,LUNG_CANCER,240_1,3
304,LUNG_CANCER,351_0,3
305,LUNG_CANCER,746_1,0
306,LUNG_CANCER,350_2,0
307,LUNG_CANCER,66_2,2
308,LUNG_CANCER,887_2,-1
309,LUNG_CANCER,99_2,0
310,LUNG_CANCER,485_2,3
311,LUNG_CANCER,157_1,1
312,LUNG_CANCER,398_1,2
313,LUNG_CANCER,174_0,-1
314,LUNG_CANCER,472_0,3
315,LUNG_CANCER,406_1,-1
316,LUNG_CANCER,574_2,3
317,LUNG_CANCER,857_1,0
318,LUNG_CANCER,422_0,3
319,LUNG_CANCER,896_1,2
320,LUNG_CANCER,483_1,4
321,LUNG_CANCER,360_0,3
322,LUNG_CANCER,989_1,1
323,LUNG_CANCER,264_0,2
324,LUNG_CANCER,730_1,1
325,LUNG_CANCER,983_0,0
326,LUNG_CANCER,678_1,3
327,LUNG_CANCER,955,4
328,LUNG_CANCER,219,1
329,LUNG_CANCER,414_0,2
330,LUNG_CANCER,137_0,-1
331,LUNG_CANCER,654_2,4
332,LUNG_CANCER,116_0,2
333,LUNG_CANCER,657_0,3
334,LUNG_CANCER,293_0,3
335,LUNG_CANCER,125,1
336,LUNG_CANCER,196,3
337,LUNG_CANCER,11,1
338,LUNG_CANCER,43_1,1
339,LUNG_CANCER,551_1,-1
340,LUNG_CANCER,464,3
341,LUNG_CANCER,895_0,2
342,LUNG_CANCER,469_1,1
343,LUNG_CANCER,831_1,-1
344,LUNG_CANCER,989_0,2
345,LUNG_CANCER,831_0,-1
346,LUNG_CANCER,629_2,0
347,LUNG_CANCER,36_2,1
348,LUNG_CANCER,212_2,2
349,LUNG_CANCER,959_2,0
350,LUNG_CANCER,500_1,1
351,LUNG_CANCER,689_2,0
352,LUNG_CANCER,175_0,2
353,LUNG_CANCER,979_0,0
354,LUNG_CANCER,64_2,3
355,LUNG_CANCER,829_2,3
356,LUNG_CANCER,346_2,2
357,LUNG_CANCER,238_0,3
358,LUNG_CANCER,219_0,0
359,LUNG_CANCER,555_2,3
360,LUNG_CANCER,425,3
361,LUNG_CANCER,308_2,3
362,LUNG_CANCER,632_2,0
363,LUNG_CANCER,948,1
364,LUNG_CANCER,727_0,4
365,LUNG_CANCER,657_1,1
366,LUNG_CANCER,596_2,-1
367,LUNG_CANCER,137_2,2
368,LUNG_CANCER,206_0,3
369,LUNG_CANCER,5_0,2
370,LUNG_CANCER,414_1,2
371,LUNG_CANCER,5,3
372,LUNG_CANCER,818_1,-1
373,LUNG_CANCER,525_2,0
374,LUNG_CANCER,570_2,3
375,LUNG_CANCER,321_2,1
376,LUNG_CANCER,979_1,3
377,LUNG_CANCER,523_0,2
378,LUNG_CANCER,368_0,4
379,LUNG_CANCER,874_2,0
380,LUNG_CANCER,398_2,4
381,LUNG_CANCER,954_2,4
382,LUNG_CANCER,293_1,2
383,LUNG_CANCER,730_2,1
384,LUNG_CANCER,87_0,4
385,LUNG_CANCER,555,-1
386,LUNG_CANCER,170_0,4
387,LUNG_CANCER,248,-1
388,LUNG_CANCER,226,4
389,LUNG_CANCER,729_1,-1
390,LUNG_CANCER,11_1,2
391,LUNG_CANCER,571,1
392,LUNG_CANCER,425_2,2
393,LUNG_CANCER,226_0,4
394,LUNG_CANCER,495,0
395,LUNG_CANCER,149_2,3
396,LUNG_CANCER,240_2,1
397,LUNG_CANCER,289_0,2
398,LUNG_CANCER,445,2
399,LUNG_CANCER,495_1,4
400,LUNG_CANCER,253_1,1
401,LUNG_CANCER,977,-1
402,LUNG_CANCER,141_1,0
403,LUNG_CANCER,957_1,3
404,LUNG_CANCER,870_2,2
405,LUNG_CANCER,777_1,3
406,LUNG_CANCER,87_2,4
407,LUNG_CANCER,659,0
408,LUNG_CANCER,957_0,4
409,LUNG_CANCER,169_0,3
410,LUNG_CANCER,368,1
411,LUNG_CANCER,195_2,1
412,LUNG_CANCER,351,2
413,LUNG_CANCER,736_2,-1
414,LUNG_CANCER,688,0
415,LUNG_CANCER,605_1,2
416,LUNG_CANCER,298_0,0
417,LUNG_CANCER,346_0,4
418,LUNG_CANCER,775,0
419,LUNG_CANCER,1001_1,0
420,LUNG_CANCER,770,0
421,LUNG_CANCER,874_0,1
422,LUNG_CANCER,895,2
423,LUNG_CANCER,775_1,2
424,LUNG_CANCER,954,1
425,LUNG_CANCER,43_2,0
426,LUNG_CANCER,935_0,4
427,LUNG_CANCER,13_0,-1
428,LUNG_CANCER,69_2,3
429,LUNG_CANCER,286_2,0
430,LUNG_CANCER,175_2,2
431,LUNG_CANCER,247_2,1
432,LUNG_CANCER,180_1,0
433,LUNG_CANCER,720_2,2
434,LUNG_CANCER,452_0,2
435,LUNG_CANCER,734_0,-1
436,LUNG_CANCER,521_0,0
437,LUNG_CANCER,495_2,0
438,LUNG_CANCER,729,2
439,LUNG_CANCER,629,0
440,LUNG_CANCER,605_0,3
441,LUNG_CANCER,264_2,2
442,LUNG_CANCER,508_2,3
443,LUNG_CANCER,137,2
444,LUNG_CANCER,292_2,1
445,LUNG_CANCER,422_2,3
446,LUNG_CANCER,689_0,1
447,LUNG_CANCER,957_2,0
448,LUNG_CANCER,870,4
449,LUNG_CANCER,493_1,0
450,LUNG_CANCER,977_2,2
451,LUNG_CANCER,563_0,1
452,LUNG_CANCER,788,1
453,LUNG_CANCER,226_2,0
454,LUNG_CANCER,351_1,-1
455,LUNG_CANCER,57_2,2
456,LUNG_CANCER,662,0
457,LUNG_CANCER,959,3
458,LUNG_CANCER,174_2,-1
459,LUNG_CANCER,724_1,-1
460,LUNG_CANCER,141,1
461,LUNG_CANCER,571_2,3
462,LUNG_CANCER,350_1,1
463,LUNG_CANCER,422_1,2
464,LUNG_CANCER,887_0,2
465,LUNG_CANCER,555_1,1
466,LUNG_CANCER,632,-1
467,LUNG_CANCER,818_0,1
468,LUNG_CANCER,870_0,1
469,LUNG_CANCER,226_1,4
470,LUNG_CANCER,469,1
471,LUNG_CANCER,975_1,4
472,LUNG_CANCER,579_0,1
473,LUNG_CANCER,490_2,1
474,LUNG_CANCER,736_1,-1
475,LUNG_CANCER,279_2,-1
476,LUNG_CANCER,196_2,-1
477,LUNG_CANCER,298_1,0
478,LUNG_CANCER,206,4
479,LUNG_CANCER,298,0
480,LUNG_CANCER,710_1,3
481,LUNG_CANCER,116_1,4
482,LUNG_CANCER,253_2,4
483,LUNG_CANCER,555_0,2
484,LUNG_CANCER,958_2,-1
485,LUNG_CANCER,194,4
486,LUNG_CANCER,788_0,4
487,LUNG_CANCER,209_1,3
488,LUNG_CANCER,469_0,1
489,LUNG_CANCER,211_1,2
490,LUNG_CANCER,196_1,0
491,LUNG_CANCER,508_1,-1
492,LUNG_CANCER,61,1
493,LUNG_CANCER,839_2,4
494,LUNG_CANCER,895_2,3
495,LUNG_CANCER,483_0,2
496,LUNG_CANCER,770_0,3
497,LUNG_CANCER,601,4
498,LUNG_CANCER,195_0,4
499,LUNG_CANCER,839,2
500,LUNG_CANCER,775_0,0
501,LUNG_CANCER,157,4
502,LUNG_CANCER,829_1,1
503,LUNG_CANCER,209_0,1
504,LUNG_CANCER,729_0,-1
505,LUNG_CANCER,195,4
506,LUNG_CANCER,794_2,1
507,LUNG_CANCER,563_1,2
508,LUNG_CANCER,657_2,-1
509,LUNG_CANCER,13_1,0
510,LUNG_CANCER,734_2,-1
511,LUNG_CANCER,802_1,0
512,LUNG_CANCER,678_2,4
513,LUNG_CANCER,831,3
514,LUNG_CANCER,338_2,2
515,LUNG_CANCER,571_0,0
516,LUNG_CANCER,345,1
517,LUNG_CANCER,4,2
518,LUNG_CANCER,890,0
519,LUNG_CANCER,62_0,2
520,LUNG_CANCER,745_2,3
521,LUNG_CANCER,345_1,3
522,LUNG_CANCER,286_1,4
523,LUNG_CANCER,445_2,1
524,LUNG_CANCER,740_2,2
525,LUNG_CANCER,500,1
526,LUNG_CANCER,737_1,3
527,LUNG_CANCER,445_1,4
528,LUNG_CANCER,246_1,1
529,LUNG_CANCER,264_1,2
530,LUNG_CANCER,745_1,1
531,LUNG_CANCER,736_0,4
532,LUNG_CANCER,5_1,1
533,LUNG_CANCER,87_1,0
534,LUNG_CANCER,247_0,0
535,LUNG_CANCER,149,4
536,LUNG_CANCER,61_2,4
537,LUNG_CANCER,78,2
538,LUNG_CANCER,601_0,0
539,LUNG_CANCER,929_1,0
540,LUNG_CANCER,579,2
541,LUNG_CANCER,485,2
542,LUNG_CANCER,485_0,4
543,LUNG_CANCER,292,2
544,LUNG_CANCER,279_0,2
545,LUNG_CANCER,217_0,4
546,LUNG_CANCER,279_1,4
547,LUNG_CANCER,399,0
548,LUNG_CANCER,769_1,4
549,LUNG_CANCER,831_2,2
550,LUNG_CANCER,567_0,3
551,LUNG_CANCER,570_1,4
552,LUNG_CANCER,737_0,4
553,LUNG_CANCER,43,4
554,LUNG_CANCER,66_1,0
555,LUNG_CANCER,720_0,0
556,LUNG_CANCER,87,0
557,LUNG_CANCER,346_1,2
558,LUNG_CANCER,654_1,4
559,LUNG_CANCER,659_2,1
560,LUNG_CANCER,710,-1
561,LUNG_CANCER,959_0,-1
562,LUNG_CANCER,727_2,-1
563,LUNG_CANCER,99,3
564,LUNG_CANCER,292_1,-1
565,LUNG_CANCER,99_1,-1
566,LUNG_CANCER,659_1,-1
567,LUNG_CANCER,140_0,3
568,LUNG_CANCER,61_1,1
569,LUNG_CANCER,464_2,4
570,LUNG_CANCER,175_1,2
571,LUNG_CANCER,516_2,4
572,LUNG_CANCER,567_1,3
573,LUNG_CANCER,579_1,0
574,LUNG_CANCER,693_2,3
575,LUNG_CANCER,696_0,4
576,LUNG_CANCER,194_1,4
577,LUNG_CANCER,929_2,2
578,LUNG_CANCER,729_2,1
579,LUNG_CANCER,896_2,4
580,LUNG_CANCER,983,0
581,LUNG_CANCER,521,3
582,LUNG_CANCER,727,0
583,LUNG_CANCER,389_2,3
584,LUNG_CANCER,253_0,0
585,LUNG_CANCER,253,1
586,LUNG_CANCER,551,3
587,LUNG_CANCER,125_1,0
588,LUNG_CANCER,777_0,4
589,LUNG_CANCER,195_1,4
590,LUNG_CANCER,140,0
591,LUNG_CANCER,551_2,4
592,LUNG_CANCER,836,3
593,LUNG_CANCER,286_0,2
594,LUNG_CANCER,596_0,4
595,LUNG_CANCER,405_1,1
596,LUNG_CANCER,355,0
597,LUNG_CANCER,696_2,4
598,LUNG_CANCER,567_2,4
599,LUNG_CANCER,736,3
600,LUNG_CANCER,264,-1
601,LUNG_CANCER,945_2,4
602,LUNG_CANCER,240,4
603,LUNG_CANCER,525_0,2
604,LUNG_CANCER,430,0
605,LUNG_CANCER,662_2,3
606,LUNG_CANCER,958_0,0
607,LUNG_CANCER,238_1,4
608,LUNG_CANCER,368_2,0
609,LUNG_CANCER,292_0,4
610,LUNG_CANCER,149_0,4
611,LUNG_CANCER,678_0,4
612,LUNG_CANCER,737_2,2
613,LUNG_CANCER,948_2,1
614,LUNG_CANCER,829_0,-1
615,LUNG_CANCER,430_1,1
616,LUNG_CANCER,389_1,0
617,LUNG_CANCER,574_1,2
618,LUNG_CANCER,677_1,0
619,LUNG_CANCER,169_1,2
620,LUNG_CANCER,346,3
621,LUNG_CANCER,247_1,3
622,LUNG_CANCER,975_2,3
623,LUNG_CANCER,977_0,3
624,LUNG_CANCER,425_1,0
625,LUNG_CANCER,464_1,1
626,LUNG_CANCER,596,0
627,LUNG_CANCER,36_1,1
628,LUNG_CANCER,209,-1
629,LUNG_CANCER,777,1
630,LUNG_CANCER,360_1,3
631,LUNG_CANCER,659_0,4
632,LUNG_CANCER,521_2,2
633,LUNG_CANCER,746_2,2
634,LUNG_CANCER,169_2,2
635,LUNG_CANCER,769,2
636,LUNG_CANCER,483_2,2
637,LUNG_CANCER,835_0,4
638,LUNG_CANCER,452_2,1
639,LUNG_CANCER,180_2,1
640,LUNG_CANCER,760_1,0
641,LUNG_CANCER,69,4
642,LUNG_CANCER,308_0,0
643,LUNG_CANCER,896_0,0
644,LUNG_CANCER,632_1,0
645,LUNG_CANCER,438_2,4
646,LUNG_CANCER,69_1,4
647,LUNG_CANCER,430_2,3
648,LUNG_CANCER,721_2,0
649,LUNG_CANCER,247,4
650,LUNG_CANCER,399_2,0
651,LUNG_CANCER,469_2,2
652,LUNG_CANCER,206_2,0
653,LUNG_CANCER,508,2
654,LUNG_CANCER,438_1,0
655,LUNG_CANCER,212_0,2
656,LUNG_CANCER,760_0,-1
657,LUNG_CANCER,979,4
658,LUNG_CANCER,710_0,0
659,LUNG_CANCER,64_1,1
660,LUNG_CANCER,170_2,1
661,LUNG_CANCER,321_0,1
662,LUNG_CANCER,593_0,2
663,LUNG_CANCER,483,1
664,LUNG_CANCER,170,1
665,LUNG_CANCER,2,1
666,LUNG_CANCER,431_2,-1
667,LUNG_CANCER,570_0,2
668,LUNG_CANCER,157_0,4
669,LUNG_CANCER,721_0,0
670,LUNG_CANCER,523,0
671,LUNG_CANCER,345_2,0
672,LYMPHOMA,889,-1
673,LYMPHOMA,496_2,4
674,LYMPHOMA,707,1
675,LYMPHOMA,119_0,4
676,LYMPHOMA,884_0,-1
677,LYMPHOMA,767_1,4
678,LYMPHOMA,361,2
679,LYMPHOMA,361_0,4
680,LYMPHOMA,573_1,3
681,LYMPHOMA,541_1,-1
682,LYMPHOMA,306_1,1
683,LYMPHOMA,158_2,1
684,LYMPHOMA,616,0
685,LYMPHOMA,120_2,1
686,LYMPHOMA,400_2,4
687,LYMPHOMA,913_1,0
688,LYMPHOMA,590,3
689,LYMPHOMA,524_1,0
690,LYMPHOMA,44_2,0
691,LYMPHOMA,231_1,4
692,LYMPHOMA,971_0,2
693,LYMPHOMA,645_0,2
694,LYMPHOMA,446,-1
695,LYMPHOMA,306_2,1
696,LYMPHOMA,786_2,0
697,LYMPHOMA,612_1,3
698,LYMPHOMA,939_1,1
699,LYMPHOMA,14_2,0
700,LYMPHOMA,545_2,4
701,LYMPHOMA,921_1,1
702,LYMPHOMA,145_2,1
703,LYMPHOMA,380_1,0
704,LYMPHOMA,590_0,4
705,LYMPHOMA,616_2,-1
706,LYMPHOMA,262_2,2
707,LYMPHOMA,306,1
708,LYMPHOMA,675_1,1
709,LYMPHOMA,432_0,1
710,LYMPHOMA,924,0
711,LYMPHOMA,1002_1,2
712,LYMPHOMA,911_0,3
713,LYMPHOMA,380,3
714,LYMPHOMA,432_1,1
715,LYMPHOMA,223_0,0
716,LYMPHOMA,106_2,3
717,LYMPHOMA,913_0,0
718,LYMPHOMA,759_0,2
719,LYMPHOMA,177,0
720,LYMPHOMA,319_1,4
721,LYMPHOMA,973_0,0
722,LYMPHOMA,951,-1
723,LYMPHOMA,413,2
724,LYMPHOMA,806_1,1
725,LYMPHOMA,39_0,-1
726,LYMPHOMA,967,4
727,LYMPHOMA,118,4
728,LYMPHOMA,231,2
729,LYMPHOMA,443_0,2
730,LYMPHOMA,361_1,1
731,LYMPHOMA,382_2,3
732,LYMPHOMA,280,0
733,LYMPHOMA,823_1,4
734,LYMPHOMA,120_1,-1
735,LYMPHOMA,573_2,2
736,LYMPHOMA,790_1,-1
737,LYMPHOMA,913_2,2
738,LYMPHOMA,731_0,2
739,LYMPHOMA,1002,2
740,LYMPHOMA,390_0,4
741,LYMPHOMA,110_2,0
742,LYMPHOMA,666_1,1
743,LYMPHOMA,128_2,-1
744,LYMPHOMA,607_1,4
745,LYMPHOMA,45_0,2
746,LYMPHOMA,46,3
747,LYMPHOMA,400_0,3
748,LYMPHOMA,49_0,1
749,LYMPHOMA,695_0,-1
750,LYMPHOMA,152_1,3
751,LYMPHOMA,768_0,3
752,LYMPHOMA,573,3
753,LYMPHOMA,661,0
754,LYMPHOMA,120,-1
755,LYMPHOMA,30_0,4
756,LYMPHOMA,353_0,-1
757,LYMPHOMA,120_0,2
758,LYMPHOMA,666_0,2
759,LYMPHOMA,790,3
760,LYMPHOMA,315,0
761,LYMPHOMA,418_0,1
762,LYMPHOMA,37_2,1
763,LYMPHOMA,888,0
764,LYMPHOMA,711_0,2
765,LYMPHOMA,976,0
766,LYMPHOMA,655_2,-1
767,LYMPHOMA,374_2,2
768,LYMPHOMA,371_1,0
769,LYMPHOMA,392_0,2
770,LYMPHOMA,30_1,-1
771,LYMPHOMA,973_1,4
772,LYMPHOMA,371,0
773,LYMPHOMA,470_0,3
774,LYMPHOMA,976_0,2
775,LYMPHOMA,663,1
776,LYMPHOMA,806_0,-1
777,LYMPHOMA,29_2,1
778,LYMPHOMA,607_0,0
779,LYMPHOMA,695_1,3
780,LYMPHOMA,823,0
781,LYMPHOMA,372_2,1
782,LYMPHOMA,374_0,2
783,LYMPHOMA,432_2,1
784,LYMPHOMA,390,0
785,LYMPHOMA,832_1,0
786,LYMPHOMA,280_1,4
787,LYMPHOMA,413_0,4
788,LYMPHOMA,29_0,1
789,LYMPHOMA,878,-1
790,LYMPHOMA,379_0,-1
791,LYMPHOMA,118_2,4
792,LYMPHOMA,382,0
793,LYMPHOMA,711_1,4
794,LYMPHOMA,768_2,3
795,LYMPHOMA,336_2,4
796,LYMPHOMA,941,3
797,LYMPHOMA,58_0,3
798,LYMPHOMA,166_0,2
799,LYMPHOMA,781_0,4
800,LYMPHOMA,408,3
